Title,Author(s),Average rating,ISBN,ISBN13,Page numbers,Ratings count,Publication date,Publisher
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,439785960,9780439785969,652 pages,2095690,2006-09-16,Scholastic Inc.
,Mary GrandPré,,,,,,,
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,439358078,9780439358071,870 pages,2153167,2004-09-01,Scholastic Inc.
,Mary GrandPré,,,,,,,
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9780439554893,352 pages,6333,2003-11-01,Scholastic
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,043965548X,9780439655484,435 pages,2339585,2004-05-01,Scholastic Inc.
,Mary GrandPré,,,,,,,
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,439682584,9780439682589,2690 pages,41428,2004-09-13,Scholastic
,Mary GrandPré,,,,,,,
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9780976540601,152 pages,19,2005-04-26,Nimble Books
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780439827607,3342 pages,28242,2005-09-12,Scholastic
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780517226957,815 pages,3628,2005-11-01,Gramercy Books
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9780345453747,815 pages,249558,2002-04-30,Del Rey Books
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,215 pages,4930,2004-08-03,Crown
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,739322206,9780739322208,6 pages,1266,2005-03-23,Random House Audio
,Stephen Fry,,,,,,,
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9780517149256,815 pages,2877,1996-01-17,Wings Books
A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,544 pages,248558,2004-09-14,Broadway Books
Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9780767915069,55 pages,7270,2002-12-03,Broadway Books
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9780767910439,256 pages,2088,2004-09-14,Broadway Books
In a Sunburned Country,Bill Bryson,4.07,767903862,9780767903868,335 pages,72451,2001-05-15,Broadway Books
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90,076790382X,9780767903820,304 pages,49240,2000-06-28,Broadway Books
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060920081,299 pages,45712,1990-08-28,William Morrow Paperbacks
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9780380713806,254 pages,48701,1993-03-28,William Morrow Paperbacks
Notes from a Small Island,Bill Bryson,3.91,380727501,9780380727506,324 pages,80609,1997-05-28,William Morrow Paperbacks
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9780380715435,270 pages,28489,1991-09-28,William Morrow Paperbacks
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780345538376,1728 pages,101233,2012-09-25,Ballantine Books
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.50,618517650,9780618517657,1184 pages,1710,2004-10-21,Houghton Mifflin Harcourt
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9780618346257,398 pages,2128944,2003-09-05,Houghton Mifflin Harcourt
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.50,618260587,9780618260584,1216 pages,1618,2002-10-01,Houghton Mifflin Harcourt
,Alan Lee,,,,,,,
The Lord of the Rings: Weapons and Warfare,Chris Smith,4.53,618391002,9780618391004,218 pages,19822,2003-11-05,Houghton Mifflin Harcourt
,Christopher Lee,,,,,,,
,Richard Taylor,,,,,,,
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,618510826,9780618510825,224 pages,359,2004-11-15,Houghton Mifflin Harcourt
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,097669400X,9780976694007,558 pages,1430,2005-07-28,Pragmatic Bookshelf
,David Heinemeier Hansson,,,,,,,
,Leon Breedt,,,,,,,
,Mike Clark,,,,,,,
,Thomas Fuchs,,,,,,,
,Andreas Schwarz,,,,,,,
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9780689840920,208 pages,270244,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.00,1557344493,9781557344496,48 pages,36,1994-08-28,Teacher Created Resources
,Edward Sciranko,,,,,,,
,Keith Vasconcelles,,,,,,,
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9780385326506,144 pages,2067,2001-01-23,Delacorte Press
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,56 pages,6,2003-06-10,Cherry Lane Music Company
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,228 pages,99,2005-11-01,The New Press
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,1595962808,9781595962805,304 pages,167,2005-11-01,Changeling Press
,Sahara Kelly,,,,,,,
,Judy Mays,,,,,,,
,Marteeka Karland,,,,,,,
,Kate Douglas,,,,,,,
,Shelby Morgen,,,,,,,
,Lacey Savage,,,,,,,
,Kate Hill,,,,,,,
,Willa Okati,,,,,,,
Changeling (Changeling  #1),Delia Sherman,3.60,670059676,9780670059676,256 pages,978,2006-08-17,Viking Juvenile
The Changeling Sea,Patricia A. McKillip,4.06,141312629,9780141312620,137 pages,4454,2003-04-14,Firebird
The Changeling,Zilpha Keatley Snyder,4.17,595321801,9780595321803,228 pages,1176,2004-06-08,iUniverse
The Changeling,Kate Horsley,3.55,1590301943,9781590301944,339 pages,301,2005-04-12,Shambhala
The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9780449146972,369 pages,345,1990-08-28,Ivy Books
The Known World,Edward P. Jones,3.83,61159174,9780061159176,388 pages,29686,2006-08-29,Amistad
The Known World,Edward P. Jones,3.83,006076273X,9780060762735,14 pages,55,2004-06-15,HarperAudio
,Kevin R. Free,,,,,,,
The Known World,Edward P. Jones,3.83,60749911,9780060749910,576 pages,22,2004-06-15,Harper
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9780273704744,334 pages,1456,2006-05-15,FT Press
Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,352 pages,52,2005-12-14,Archaia
The John McPhee Reader (John McPhee Reader  #1),John McPhee,4.42,374517193,9780374517199,416 pages,562,1982-06-01,Farrar Straus and Giroux
,William Howarth,,,,,,,
Uncommon Carriers,John McPhee,3.95,374280398,9780374280390,248 pages,1630,2006-05-16,Farrar Straus and Giroux
Heirs of General Practice,John McPhee,4.17,374519749,9780374519742,128 pages,268,1986-04-01,Farrar Straus and Giroux
The Control of Nature,John McPhee,4.24,374522596,9780374522599,288 pages,3498,1990-09-01,Farrar Straus and Giroux
Annals of the Former World,John McPhee,4.34,374518734,9780374518738,720 pages,3115,1999-01-06,Farrar Straus and Giroux
Coming Into the Country,John McPhee,4.22,374522871,9780374522872,448 pages,5704,1991-04-01,Farrar Straus and Giroux
